Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),Udacity Initial Cost Estimate,Amazon Virtual Private Cloud (VPC),0,37.35,448.20,USD,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),,Application Load Balancer,0,542.03,6504.36,USD,Number of Application Load Balancers (1)
My Estimate,US East (N. Virginia),,Classic Load Balancer,0,100.17,1202.04,USD,"Number of Classic Load Balancers (1), Processed bytes per CLB (10 TB per month)"
My Estimate,US East (N. Virginia),,Amazon RDS for PostgreSQL,0,6708.56,80502.72,USD,"Quantity (1), Pricing strategy (On-Demand Instances 1 Year No Upfront), Storage volume (General Purpose SSD (gp2)), Storage amount (20 TB per month), Instance type (db.t3.small), Additional backup storage (20 TB)"
My Estimate,US East (N. Virginia),,S3 Standard,0,256.97,3083.64,USD,S3 Standard storage (10 TB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,460.71,5528.52,USD,"DT Inbound: Internet (20 TB per month), DT Outbound: Internet (5 TB per month)"
My Estimate,US East (N. Virginia),,Amazon Elastic IP,0,0,0.00,USD,"Number of EC2 instances (4), Number of EIPs per instance (1), Number of EIP remaps (0)"
My Estimate,US East (N. Virginia),Udacity ,Amazon EC2,0,671.744,8060.93,USD,"Operating system (Linux), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (10 GB), Snapshot Frequency (Weekly), Amount changed per snapshot (1 GB), DT Inbound: Internet (20 TB per month), DT Outbound: Amazon CloudFront (20 TB per month), DT Outbound: Internet (6 TB per month), DT Intra-Region: (5 TB per month), Workload (Consistent, Number of instances: 2), Advance EC2 instance (t3a.micro), Pricing strategy (On-Demand)"
My Estimate,US East (N. Virginia),Udacity ,Amazon EC2,0,671.744,8060.93,USD,"Operating system (Linux), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (10 GB), Snapshot Frequency (Weekly), Amount changed per snapshot (1 GB), DT Inbound: Internet (20 TB per month), DT Outbound: Amazon CloudFront (20 TB per month), DT Outbound: Internet (6 TB per month), DT Intra-Region: (5 TB per month), Workload (Consistent, Number of instances: 2), Advance EC2 instance (t3a.micro), Pricing strategy (On-Demand)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
